date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2010-12-21	0	1	1	0	1	0.0	21:19	4	1	
2010-12-23	0	0	0	2	5	0.0	23:13	5	0	0.0
2010-12-26	1	1	2	2	8	12.5	22:01	1	1	100.0
2010-12-28	1	0	1	0	5	20.0	22:08	2	0	
2011-01-01	0	0	-1	0	6	0.0	18:26	1	0	
2011-01-04	0	0	0	0	8	0.0	21:56	1	0	
2011-01-08	1	1	0	0	6	16.7	20:33	1	1	
2011-01-11	0	1	1	0	6	0.0	23:21	3	1	0.0
2011-01-12	0	0	-2	2	2	0.0	18:38	4	1	
2011-01-14	0	0	-1	0	3	0.0	25:01	7	0	
2011-01-16	0	0	1	0	3	0.0	22:10	2	0	
2011-01-18	1	0	0	0	3	33.3	20:30	2	0	
2011-01-20	0	2	2	2	1	0.0	19:55	1	0	
2011-01-22	3	0	3	0	8	37.5	20:52	2	3	
2011-01-24	0	0	0	2	6	0.0	24:08	2	0	
2011-01-26	0	0	0	0	8	0.0	23:38	2	0	
2011-02-01	0	0	0	2	3	0.0	22:30	4	1	
2011-02-04	1	3	3	0	10	10.0	22:22	4	0	
2011-02-06	0	0	0	0	3	0.0	21:21	3	1	
2011-02-08	0	0	-2	0	3	0.0	21:41	4	0	
2011-02-12	1	0	0	0	2	50.0	24:35	2	2	
2011-02-14	0	0	0	0	6	0.0	25:52	3	0	
2011-02-16	1	1	-1	0	3	33.3	22:58	4	0	
2011-02-17	1	1	0	2	7	14.3	20:13	4	0	
2011-02-20	0	1	0	0	6	0.0	24:11	1	0	
2011-02-21	1	0	0	0	8	12.5	20:36	4	2	
2011-02-25	0	0	-1	0	8	0.0	22:44	6	1	33.3
2011-02-26	0	1	-1	0	2	0.0	17:02	4	0	
2011-03-01	1	1	2	0	8	12.5	17:52	1	0	100.0
2011-03-03	0	2	1	0	1	0.0	18:47	3	1	
2011-03-06	0	1	0	0	4	0.0	16:53	3	0	
2011-03-07	0	1	1	2	4	0.0	24:39	4	0	
2011-03-09	2	1	1	0	5	40.0	18:39	1	0	
2011-03-11	1	0	1	0	1	100.0	16:07	3	1	
2011-03-13	0	0	-1	0	6	0.0	20:24	3	0	
